CurrentAlcoholUse,HowMuchDoYouWeighWithoutShoesInKG,Alcohol_Binary
1.0,61.24,0
4.0,65.77,1
4.0,120.2,1
2.0,95.26,1
1.0,65.77,0
4.0,63.5,1
4.0,54.43,1
1.0,61.24,0
1.0,136.08,0
1.0,68.04,0
1.0,54.43,0
1.0,59.88,0
1.0,65.77,0
1.0,49.9,0
3.0,53.52,1
1.0,54.89,0
1.0,103.42,0
1.0,127.01,0
1.0,86.18,0
1.0,117.48,0
1.0,58.97,0
7.0,83.01,1
1.0,90.72,0
2.0,61.24,1
3.0,53.98,1
1.0,54.43,0
1.0,50.8,0
1.0,68.04,0
2.0,86.18,1
2.0,86.18,1
1.0,80.29,0
1.0,58.97,0
1.0,61.24,0
1.0,90.72,0
2.0,69.4,1
1.0,105.69,0
2.0,102.97,1
1.0,63.5,0
7.0,79.38,1
1.0,121.11,0
5.0,77.11,1
1.0,74.84,0
3.0,61.24,1
1.0,53.52,0
2.0,61.24,1
1.0,48.54,0
1.0,57.15,0
2.0,70.31,1
1.0,52.16,0
2.0,81.65,1
1.0,52.16,0
1.0,48.99,0
1.0,56.7,0
1.0,64.41,0
2.0,70.31,1
5.0,69.85,1
1.0,91.63,0
1.0,61.24,0
1.0,77.11,0
2.0,77.11,1
1.0,89.36,0
1.0,79.38,0
2.0,68.95,1
2.0,72.12,1
1.0,72.58,0
1.0,79.38,0
2.0,56.7,1
1.0,62.14,0
4.0,67.59,1
3.0,49.9,1
1.0,58.97,0
1.0,87.09,0
1.0,47.63,0
5.0,76.2,1
1.0,65.32,0
1.0,54.43,0
1.0,74.84,0
1.0,48.08,0
3.0,61.24,1
1.0,55.34,0
3.0,58.97,1
1.0,60.78,0
2.0,54.43,1
1.0,70.76,0
1.0,56.7,0
1.0,50.8,0
2.0,62.6,1
3.0,68.04,1
2.0,78.02,1
1.0,56.7,0
1.0,105.24,0
1.0,73.48,0
1.0,86.18,0
1.0,66.23,0
1.0,65.77,0
1.0,69.85,0
1.0,79.38,0
1.0,49.9,0
2.0,61.24,1
3.0,52.62,1
1.0,77.11,0
1.0,62.6,0
3.0,102.06,1
1.0,73.48,0
3.0,64.86,1
2.0,89.36,1
1.0,84.37,0
3.0,74.84,1
1.0,62.6,0
3.0,89.81,1
1.0,58.97,0
2.0,54.43,1
1.0,83.92,0
1.0,58.51,0
1.0,81.65,0
3.0,85.28,1
1.0,56.7,0
1.0,96.62,0
1.0,85.73,0
2.0,56.25,1
1.0,70.31,0
1.0,52.16,0
2.0,58.97,1
2.0,69.4,1
1.0,54.43,0
3.0,58.97,1
2.0,58.97,1
1.0,54.43,0
2.0,109.77,1
1.0,68.04,0
1.0,76.66,0
1.0,70.31,0
2.0,54.43,1
2.0,56.7,1
1.0,68.04,0
1.0,65.77,0
1.0,84.82,0
4.0,72.58,1
3.0,79.38,1
1.0,74.84,0
2.0,44.0,1
1.0,47.63,0
2.0,105.69,1
3.0,57.15,1
2.0,81.65,1
1.0,65.77,0
1.0,122.47,0
1.0,95.26,0
4.0,83.92,1
1.0,56.7,0
2.0,54.43,1
2.0,54.43,1
2.0,56.7,1
1.0,58.97,0
1.0,87.54,0
1.0,56.7,0
2.0,58.97,1
1.0,56.7,0
1.0,85.73,0
3.0,45.36,1
4.0,72.58,1
1.0,71.22,0
1.0,60.78,0
1.0,65.77,0
1.0,72.58,0
2.0,58.97,1
1.0,53.98,0
4.0,52.62,1
1.0,76.66,0
1.0,67.59,0
1.0,77.11,0
1.0,55.79,0
1.0,72.58,0
1.0,58.97,0
1.0,77.11,0
1.0,83.92,0
1.0,120.2,0
1.0,65.77,0
2.0,57.61,1
1.0,54.43,0
2.0,54.43,1
2.0,77.11,1
1.0,53.52,0
1.0,68.04,0
3.0,54.89,1
1.0,54.89,0
1.0,61.69,0
1.0,54.43,0
1.0,52.62,0
1.0,61.24,0
1.0,117.94,0
1.0,64.86,0
1.0,58.06,0
2.0,59.42,1
1.0,63.5,0
1.0,52.16,0
1.0,40.82,0
1.0,45.36,0
2.0,63.5,1
1.0,108.86,0
1.0,72.58,0
1.0,72.58,0
1.0,58.51,0
1.0,65.77,0
1.0,58.97,0
1.0,88.45,0
1.0,90.72,0
2.0,88.91,1
3.0,81.65,1
2.0,79.38,1
3.0,83.92,1
1.0,49.44,0
4.0,71.22,1
1.0,56.7,0
1.0,88.91,0
1.0,58.97,0
4.0,59.88,1
2.0,65.32,1
1.0,58.97,0
2.0,66.68,1
1.0,54.43,0
2.0,47.63,1
2.0,54.43,1
1.0,58.97,0
1.0,50.8,0
1.0,48.54,0
3.0,71.22,1
1.0,68.04,0
1.0,61.24,0
2.0,52.16,1
1.0,72.58,0
1.0,74.84,0
1.0,43.09,0
1.0,65.77,0
1.0,63.5,0
1.0,76.66,0
1.0,71.67,0
2.0,119.75,1
1.0,62.14,0
1.0,53.52,0
1.0,54.43,0
1.0,45.36,0
1.0,54.43,0
1.0,74.84,0
4.0,83.92,1
1.0,54.43,0
3.0,63.5,1
3.0,58.97,1
1.0,67.13,0
3.0,67.59,1
1.0,47.63,0
1.0,87.54,0
1.0,77.11,0
1.0,86.18,0
3.0,68.04,1
1.0,88.0,0
